longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN
-118.11,33.8,36.0,1837.0,319.0,810.0,305.0,4.3897,235000.0,0,0,0,0
-122.1,37.96,25.0,1374.0,206.0,569.0,235.0,6.3699,235500.0,0,0,1,0
-121.81,38.0,37.0,2724.0,579.0,1400.0,540.0,2.905,97300.0,1,0,0,0
-120.97,37.65,16.0,3960.0,716.0,1776.0,724.0,3.9886,137500.0,1,0,0,0
-118.4,34.05,43.0,1028.0,145.0,394.0,149.0,10.4519,500001.0,0,0,0,0
-118.04,33.82,26.0,4105.0,637.0,2072.0,648.0,5.844,273900.0,0,0,0,0
-117.24,32.74,44.0,1488.0,259.0,667.0,281.0,4.0862,321800.0,0,0,0,1
-118.05,33.99,42.0,2480.0,401.0,1085.0,438.0,5.193,263400.0,0,0,0,0
-118.3,34.03,41.0,1653.0,426.0,1868.0,393.0,1.78,162500.0,0,0,0,0
-121.44,38.64,25.0,1678.0,367.0,971.0,307.0,1.0398,62100.0,1,0,0,0
-122.58,38.59,33.0,1239.0,262.0,539.0,246.0,3.5208,195800.0,1,0,0,0
-118.24,34.15,7.0,2063.0,670.0,1892.0,643.0,1.7301,202300.0,0,0,0,0
-122.61,37.99,40.0,7737.0,1488.0,3108.0,1349.0,4.4375,289600.0,0,0,0,1
-118.01,33.94,36.0,1921.0,329.0,969.0,327.0,4.9191,188700.0,0,0,0,0
-120.16,39.01,16.0,1463.0,264.0,54.0,26.0,4.975,206300.0,1,0,0,0
-117.03,32.69,10.0,901.0,163.0,698.0,167.0,4.6648,156100.0,0,0,0,1
-118.47,34.0,41.0,2331.0,636.0,1839.0,537.0,2.288,263500.0,0,0,0,0
-121.85,39.77,17.0,5273.0,1177.0,2446.0,1199.0,1.9362,89900.0,1,0,0,0
-117.03,32.82,16.0,1765.0,289.0,743.0,280.0,4.9744,209700.0,0,0,0,0
-118.04,34.13,35.0,249.0,31.0,268.0,29.0,15.0001,500001.0,1,0,0,0
-117.21,32.86,26.0,1352.0,202.0,654.0,217.0,5.3693,260700.0,0,0,0,1
-117.38,34.09,8.0,3955.0,815.0,2184.0,725.0,3.3438,127600.0,1,0,0,0
-122.32,37.91,34.0,2669.0,647.0,1341.0,555.0,2.6399,119600.0,0,0,1,0
-122.26,38.1,30.0,3317.0,1058.0,1794.0,990.0,1.1835,133300.0,0,0,1,0
-117.87,33.72,39.0,3167.0,669.0,2789.0,619.0,3.5902,165900.0,0,0,0,0
-121.31,38.58,10.0,2421.0,580.0,962.0,497.0,2.5035,112500.0,1,0,0,0
-118.16,34.0,37.0,1341.0,336.0,1233.0,306.0,3.6583,150500.0,0,0,0,0
-119.81,36.77,48.0,1805.0,329.0,741.0,331.0,2.5804,78900.0,1,0,0,0
-119.3,38.26,19.0,3325.0,660.0,750.0,286.0,2.9509,114800.0,1,0,0,0
-122.41,37.66,34.0,1075.0,318.0,906.0,294.0,3.0052,242500.0,0,0,0,1
-117.25,32.78,21.0,1479.0,484.0,658.0,384.0,2.45,350000.0,0,0,0,1
-121.99,37.25,22.0,4240.0,532.0,1480.0,514.0,11.2463,500001.0,0,0,0,0
-117.07,32.75,37.0,2690.0,549.0,1219.0,524.0,2.3148,154200.0,0,0,0,1
-118.18,34.05,41.0,389.0,102.0,455.0,107.0,2.7031,109200.0,0,0,0,0
-121.34,38.61,11.0,1716.0,404.0,722.0,415.0,2.0926,166100.0,1,0,0,0
-117.78,33.87,16.0,5609.0,952.0,2624.0,934.0,5.3307,169600.0,0,0,0,0
-117.97,33.89,17.0,1740.0,445.0,1158.0,412.0,2.8649,137500.0,0,0,0,0
-122.28,37.9,52.0,2318.0,328.0,779.0,312.0,7.1754,362900.0,0,0,1,0
-120.37,40.17,21.0,789.0,141.0,406.0,146.0,2.1198,73500.0,1,0,0,0
-118.12,33.92,27.0,6336.0,1628.0,4673.0,1505.0,2.5893,183700.0,0,0,0,0
-117.89,34.08,35.0,1711.0,335.0,825.0,356.0,3.5,215600.0,0,0,0,0
-120.46,37.33,4.0,786.0,116.0,368.0,109.0,6.3215,138200.0,1,0,0,0
-118.08,33.93,34.0,1558.0,375.0,1179.0,337.0,3.2188,165100.0,0,0,0,0
-118.42,33.93,28.0,4603.0,993.0,2191.0,943.0,4.5743,382200.0,0,0,0,0
-120.46,34.65,14.0,885.0,223.0,533.0,224.0,2.5966,109300.0,0,0,0,1
-118.38,34.06,31.0,4345.0,1158.0,1987.0,1070.0,2.8233,310000.0,0,0,0,0
-119.71,36.74,18.0,8099.0,1670.0,4476.0,1514.0,2.4728,88300.0,1,0,0,0
-117.19,32.86,19.0,3716.0,563.0,1788.0,587.0,5.2113,267400.0,0,0,0,1
-122.42,37.73,35.0,1871.0,342.0,1055.0,310.0,4.625,279300.0,0,0,1,0
-122.56,37.9,24.0,221.0,41.0,75.0,38.0,5.1292,362500.0,0,0,1,0
-121.3,38.74,41.0,4374.0,1039.0,2387.0,959.0,2.3611,87900.0,1,0,0,0
-117.03,32.73,32.0,1750.0,333.0,997.0,335.0,3.4784,154400.0,0,0,0,1
-118.35,33.88,36.0,1567.0,362.0,1054.0,386.0,3.2594,233900.0,0,0,0,0
-120.54,34.97,23.0,1353.0,345.0,1322.0,336.0,1.8185,97800.0,0,0,0,0
-122.17,37.72,42.0,3008.0,659.0,1817.0,664.0,3.371,165000.0,0,0,1,0
-121.22,37.8,28.0,2608.0,576.0,1719.0,554.0,2.1186,94400.0,1,0,0,0
-120.44,34.91,12.0,3189.0,463.0,1200.0,442.0,5.299,226800.0,0,0,0,0
-118.16,33.96,24.0,1635.0,507.0,2480.0,481.0,2.4432,187500.0,0,0,0,0
-117.97,33.79,34.0,2456.0,410.0,1289.0,442.0,4.1818,224200.0,0,0,0,0
-119.16,34.28,11.0,5330.0,1056.0,2801.0,1028.0,4.763,232700.0,0,0,0,1
-122.44,37.71,31.0,2370.0,441.0,1524.0,470.0,5.0201,264100.0,0,0,1,0
-117.98,33.77,22.0,3236.0,673.0,2034.0,662.0,4.0955,174200.0,0,0,0,0
-117.32,33.8,11.0,3196.0,576.0,1757.0,552.0,4.0982,173300.0,1,0,0,0
-117.69,34.05,10.0,1875.0,366.0,1055.0,363.0,4.3264,128900.0,1,0,0,0
-122.46,37.64,26.0,2806.0,375.0,1617.0,396.0,5.3922,353700.0,0,0,0,1
-116.95,33.79,20.0,2399.0,546.0,1726.0,542.0,1.8845,77700.0,1,0,0,0
-121.34,38.63,13.0,3033.0,540.0,1363.0,519.0,4.0036,161700.0,1,0,0,0
-118.42,33.92,41.0,1621.0,279.0,756.0,277.0,5.0594,346000.0,0,0,0,0
-115.57,32.8,16.0,1307.0,359.0,961.0,327.0,1.1853,72600.0,1,0,0,0
-118.23,33.93,39.0,2065.0,532.0,2015.0,535.0,0.8478,104900.0,0,0,0,0
-117.62,34.13,20.0,3216.0,516.0,1655.0,524.0,5.1261,158800.0,1,0,0,0
-117.99,33.69,12.0,2480.0,858.0,1441.0,788.0,1.6705,350000.0,0,0,0,0
-118.41,34.03,24.0,3711.0,1192.0,1764.0,1147.0,3.1642,366700.0,0,0,0,0
-117.95,33.74,25.0,1393.0,243.0,976.0,245.0,5.4485,225200.0,0,0,0,0
-118.35,34.03,35.0,1438.0,333.0,794.0,306.0,1.975,138100.0,0,0,0,0
-118.41,34.04,52.0,1907.0,261.0,681.0,249.0,10.9805,500001.0,0,0,0,0
-122.29,37.54,43.0,2268.0,438.0,1151.0,449.0,4.9091,293200.0,0,0,0,1
-122.21,38.41,12.0,4270.0,654.0,1624.0,598.0,5.5266,331300.0,1,0,0,0
-120.89,35.37,29.0,2046.0,588.0,846.0,410.0,1.65,227300.0,0,0,0,1
-118.64,34.22,25.0,2762.0,410.0,1166.0,439.0,6.8643,333700.0,0,0,0,0
-118.35,34.32,52.0,102.0,29.0,54.0,32.0,1.9875,191700.0,0,0,0,0
-117.44,33.92,33.0,2433.0,525.0,1466.0,517.0,3.0437,110800.0,1,0,0,0
-121.49,38.58,52.0,1000.0,324.0,456.0,250.0,1.4375,168800.0,1,0,0,0
-118.78,34.26,24.0,4072.0,582.0,1834.0,565.0,6.0487,254500.0,0,0,0,0
-122.56,37.92,37.0,1926.0,290.0,721.0,298.0,8.9248,500001.0,0,0,1,0
-122.92,39.08,24.0,341.0,64.0,146.0,57.0,4.0,166300.0,1,0,0,0
-120.92,37.7,24.0,527.0,112.0,270.0,112.0,1.6172,156300.0,1,0,0,0
-120.5,37.32,13.0,1936.0,384.0,1158.0,367.0,2.75,83200.0,1,0,0,0
-118.32,33.99,49.0,1407.0,269.0,889.0,283.0,1.9779,114200.0,0,0,0,0
-118.77,34.26,26.0,3038.0,468.0,1825.0,468.0,5.6385,196900.0,0,0,0,0
-117.34,34.08,35.0,1380.0,248.0,730.0,264.0,3.2305,93700.0,1,0,0,0
-118.43,34.06,38.0,2982.0,664.0,1122.0,572.0,4.1908,500001.0,0,0,0,0
-119.85,36.78,8.0,3096.0,684.0,1454.0,545.0,2.7857,79700.0,1,0,0,0
-117.19,32.75,52.0,1388.0,213.0,513.0,211.0,6.1309,411600.0,0,0,0,1
-118.35,34.04,36.0,1956.0,601.0,1672.0,546.0,1.8685,150700.0,0,0,0,0
-121.26,37.96,43.0,940.0,208.0,690.0,181.0,2.3056,62300.0,1,0,0,0
-121.52,39.43,15.0,2119.0,389.0,1079.0,374.0,2.3566,80400.0,1,0,0,0
-118.27,34.17,48.0,1560.0,280.0,825.0,269.0,5.5118,354700.0,0,0,0,0
-117.22,33.48,5.0,1585.0,247.0,510.0,181.0,6.9136,493300.0,0,0,0,0
-118.2,33.88,40.0,2945.0,725.0,2858.0,690.0,3.2368,136900.0,0,0,0,0
-121.29,37.99,30.0,1271.0,528.0,2019.0,524.0,1.5152,81300.0,1,0,0,0
-122.4,40.57,23.0,1321.0,259.0,749.0,222.0,1.655,90100.0,1,0,0,0
-117.28,32.84,41.0,1420.0,338.0,640.0,314.0,2.9306,360300.0,0,0,0,1
-117.11,32.67,52.0,280.0,71.0,217.0,71.0,1.4844,83300.0,0,0,0,1
-122.27,37.87,49.0,1350.0,368.0,707.0,350.0,2.8846,211300.0,0,0,1,0
-121.6,37.91,13.0,2479.0,394.0,1075.0,350.0,5.1017,241400.0,1,0,0,0
-121.96,37.27,31.0,3347.0,589.0,1566.0,597.0,5.5151,286800.0,0,0,0,0
-122.07,37.64,22.0,5861.0,1516.0,5436.0,1463.0,2.5158,134900.0,0,0,1,0
-120.8,35.33,20.0,2200.0,393.0,996.0,365.0,3.587,330000.0,0,0,0,1
-122.42,37.76,52.0,1494.0,610.0,1630.0,590.0,1.65,265000.0,0,0,1,0
-118.19,34.05,47.0,1273.0,264.0,1193.0,260.0,2.4375,122900.0,0,0,0,0
-118.43,34.28,27.0,862.0,280.0,1243.0,267.0,2.3724,154200.0,0,0,0,0
-121.96,38.34,15.0,2857.0,373.0,1325.0,359.0,6.0252,151700.0,1,0,0,0
-117.92,33.9,13.0,1814.0,320.0,1010.0,313.0,6.3489,337900.0,0,0,0,0
-121.85,37.28,17.0,4208.0,954.0,1476.0,904.0,2.3971,87500.0,0,0,0,0
-121.31,38.57,22.0,1229.0,253.0,733.0,250.0,2.5,101600.0,1,0,0,0
-117.62,34.08,22.0,2626.0,631.0,1678.0,557.0,3.125,111800.0,1,0,0,0
-122.02,37.4,35.0,2348.0,531.0,1475.0,498.0,4.35,261000.0,0,0,0,0
-121.63,38.67,34.0,431.0,85.0,391.0,77.0,2.625,225000.0,1,0,0,0
-117.97,33.75,26.0,3361.0,722.0,2709.0,648.0,3.9107,190700.0,0,0,0,0
-121.83,37.26,15.0,3243.0,551.0,1752.0,551.0,5.5849,257400.0,0,0,0,0
-118.15,34.17,46.0,2553.0,558.0,1740.0,492.0,2.0278,127500.0,0,0,0,0
-122.42,37.73,46.0,1819.0,411.0,1534.0,406.0,4.0132,229400.0,0,0,1,0
-119.23,34.42,16.0,630.0,117.0,343.0,100.0,5.75,325000.0,0,0,0,0
-122.46,37.77,52.0,1824.0,388.0,799.0,363.0,3.75,435700.0,0,0,1,0
-117.89,34.12,35.0,1470.0,241.0,885.0,246.0,4.9239,168800.0,0,0,0,0
-121.31,37.99,15.0,3103.0,965.0,3061.0,861.0,1.3729,110300.0,1,0,0,0
-118.34,34.06,52.0,2069.0,417.0,826.0,377.0,3.5481,396000.0,0,0,0,0
-121.55,39.5,26.0,3215.0,827.0,2041.0,737.0,1.0585,45100.0,1,0,0,0
-120.85,37.77,10.0,423.0,110.0,295.0,94.0,1.3583,85200.0,1,0,0,0
-115.58,33.88,21.0,1161.0,282.0,724.0,186.0,3.1827,71700.0,1,0,0,0
-117.32,34.1,27.0,2053.0,461.0,1737.0,463.0,3.1213,78800.0,1,0,0,0
-117.13,32.7,48.0,786.0,230.0,917.0,231.0,1.875,75600.0,0,0,0,1
-118.23,33.92,24.0,1555.0,406.0,1665.0,361.0,1.6437,98800.0,0,0,0,0
-121.42,38.72,10.0,3054.0,528.0,1932.0,510.0,3.0903,91900.0,1,0,0,0
-121.02,36.94,33.0,1541.0,313.0,880.0,272.0,2.5074,117700.0,1,0,0,0
-117.26,33.2,13.0,3163.0,725.0,1675.0,629.0,2.8214,121900.0,0,0,0,0
-117.09,32.72,33.0,1096.0,240.0,716.0,224.0,1.6944,111800.0,0,0,0,1
-122.53,37.97,52.0,205.0,119.0,228.0,132.0,1.9063,200000.0,0,0,1,0
-117.94,34.09,21.0,2707.0,675.0,1742.0,626.0,2.1062,176700.0,0,0,0,0
-114.62,33.62,26.0,18.0,3.0,5.0,3.0,0.536,275000.0,1,0,0,0
-121.73,36.9,23.0,2392.0,721.0,3074.0,718.0,2.5195,136900.0,0,0,0,0
-122.09,37.4,22.0,1489.0,436.0,662.0,470.0,3.5179,197200.0,0,0,1,0
-117.21,34.11,26.0,1757.0,304.0,905.0,281.0,3.4103,90900.0,1,0,0,0
-122.08,37.87,24.0,6130.0,1359.0,1750.0,1286.0,2.9167,102700.0,0,0,1,0
-121.84,37.4,25.0,1866.0,271.0,840.0,275.0,6.8677,288500.0,0,0,0,0
-121.96,37.54,14.0,5106.0,1207.0,2738.0,1108.0,3.9909,236000.0,0,0,0,0
-120.67,35.3,32.0,4202.0,986.0,2309.0,956.0,2.2165,231700.0,0,0,0,1
-122.26,37.77,52.0,1848.0,479.0,921.0,477.0,2.875,234000.0,0,0,1,0
-118.25,34.05,52.0,2806.0,1944.0,2232.0,1605.0,0.6775,350000.0,0,0,0,0
-117.2,33.14,19.0,2025.0,414.0,1663.0,403.0,3.8147,139200.0,0,0,0,0
-122.11,37.11,46.0,1993.0,404.0,850.0,327.0,5.208,206800.0,0,0,0,1
-117.35,34.09,14.0,5983.0,1224.0,3255.0,1150.0,2.5902,111500.0,1,0,0,0
-117.66,34.13,17.0,3229.0,405.0,1289.0,407.0,6.3842,307100.0,1,0,0,0
-118.16,34.6,2.0,11008.0,1549.0,4098.0,1367.0,6.4865,204400.0,1,0,0,0
-117.91,33.69,30.0,2704.0,426.0,1289.0,423.0,5.2815,229500.0,0,0,0,0
-122.03,37.35,25.0,3095.0,514.0,1251.0,507.0,5.5388,352100.0,0,0,0,0
-117.74,34.08,35.0,1613.0,298.0,911.0,293.0,3.4398,134300.0,1,0,0,0
-118.28,34.06,52.0,1261.0,616.0,2309.0,581.0,1.6184,225000.0,0,0,0,0
-118.23,34.18,43.0,1708.0,280.0,768.0,276.0,6.207,457400.0,0,0,0,0
-116.94,32.87,24.0,2824.0,441.0,1480.0,471.0,5.2614,177200.0,0,0,0,0
-121.31,38.68,16.0,5179.0,1271.0,2181.0,1151.0,2.1009,82500.0,1,0,0,0
-119.83,34.43,31.0,798.0,346.0,699.0,301.0,2.1417,205000.0,0,0,0,1
-117.19,33.14,12.0,3652.0,923.0,1677.0,728.0,2.3267,92000.0,0,0,0,0
-118.07,34.51,14.0,2798.0,459.0,1236.0,404.0,4.8667,239900.0,1,0,0,0
-117.09,32.7,15.0,869.0,217.0,887.0,216.0,1.4583,84200.0,0,0,0,1
-118.14,33.86,44.0,1276.0,234.0,538.0,213.0,4.8667,218300.0,0,0,0,0
-118.04,33.94,31.0,3808.0,670.0,2430.0,660.0,4.625,173900.0,0,0,0,0
-117.94,33.76,33.0,1441.0,337.0,1233.0,331.0,3.7232,176200.0,0,0,0,0
-118.24,33.98,30.0,861.0,250.0,1062.0,231.0,1.75,115400.0,0,0,0,0
-117.86,33.85,17.0,1131.0,236.0,622.0,244.0,4.9306,158500.0,0,0,0,0
-121.24,37.96,29.0,874.0,217.0,788.0,222.0,1.9187,57700.0,1,0,0,0
-121.58,37.01,15.0,2873.0,547.0,1582.0,567.0,5.1519,264700.0,1,0,0,0
-117.9,36.95,19.0,99.0,26.0,51.0,22.0,1.7292,137500.0,1,0,0,0
-117.93,33.85,25.0,1026.0,288.0,1646.0,283.0,4.2019,163900.0,0,0,0,0
-122.41,40.53,28.0,1127.0,245.0,538.0,208.0,2.037,72000.0,1,0,0,0
-120.41,34.87,15.0,1534.0,251.0,761.0,240.0,4.9028,193600.0,0,0,0,0
-118.6,34.08,40.0,866.0,181.0,399.0,176.0,6.91,380000.0,0,0,0,0
-117.1,33.07,16.0,2402.0,336.0,1080.0,365.0,8.6803,347300.0,0,0,0,0
-121.94,37.54,27.0,3715.0,526.0,1631.0,538.0,6.2179,305300.0,0,0,0,0
-118.86,34.07,16.0,1409.0,244.0,970.0,172.0,8.0144,500001.0,0,0,0,1
-117.41,34.11,29.0,3999.0,772.0,2602.0,760.0,3.5481,105500.0,1,0,0,0
-118.17,34.12,37.0,2246.0,481.0,995.0,459.0,4.2944,354700.0,0,0,0,0
-116.92,32.8,33.0,1518.0,268.0,857.0,272.0,3.5586,160400.0,0,0,0,0
-122.16,37.68,16.0,1687.0,348.0,568.0,352.0,2.3869,83300.0,0,0,1,0
-119.57,36.7,30.0,2370.0,412.0,1248.0,410.0,3.1442,72300.0,1,0,0,0
-118.35,33.98,42.0,3081.0,680.0,1785.0,609.0,3.745,170800.0,0,0,0,0
-121.88,37.43,17.0,3469.0,896.0,2762.0,808.0,3.3884,245800.0,0,0,0,0
-122.45,37.72,46.0,1406.0,235.0,771.0,239.0,4.7143,219300.0,0,0,1,0
-122.47,37.87,36.0,4471.0,618.0,1315.0,582.0,11.5706,500001.0,0,0,1,0
-117.17,32.78,42.0,1104.0,305.0,892.0,270.0,2.2768,145200.0,0,0,0,1
-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,238300.0,0,0,0,0
-118.35,33.98,33.0,1884.0,477.0,1518.0,449.0,3.1194,152800.0,0,0,0,0
-122.19,38.13,5.0,7854.0,1446.0,4361.0,1395.0,4.9504,214800.0,0,0,1,0
-118.17,33.85,39.0,2247.0,526.0,1670.0,525.0,3.07,173000.0,0,0,0,0
-122.46,37.51,23.0,949.0,151.0,399.0,149.0,5.6286,411300.0,0,0,0,1
-121.84,37.38,33.0,835.0,181.0,781.0,169.0,5.1082,195800.0,0,0,0,0
-121.57,37.01,44.0,1448.0,393.0,1066.0,357.0,2.0625,170300.0,1,0,0,0
-122.26,38.15,16.0,3921.0,727.0,2830.0,680.0,4.5053,123700.0,0,0,1,0
-118.16,34.7,33.0,2918.0,494.0,1365.0,478.0,4.8787,127700.0,1,0,0,0
-117.8,33.76,27.0,2655.0,345.0,1017.0,335.0,6.9014,366800.0,0,0,0,0
-117.91,33.74,15.0,715.0,214.0,1394.0,244.0,3.3846,162500.0,0,0,0,0
-119.9,36.79,22.0,1970.0,332.0,1066.0,319.0,3.3125,106100.0,1,0,0,0
-124.08,40.91,13.0,2522.0,719.0,1381.0,628.0,1.6667,78800.0,0,0,0,1
-117.96,33.81,35.0,1153.0,192.0,884.0,208.0,5.2384,177400.0,0,0,0,0
-118.19,34.02,40.0,474.0,124.0,546.0,121.0,2.3438,137500.0,0,0,0,0
-121.21,38.76,16.0,1608.0,296.0,792.0,286.0,3.1583,239200.0,1,0,0,0
-117.9,34.08,32.0,2068.0,356.0,976.0,370.0,5.212,201200.0,0,0,0,0
-121.28,37.83,32.0,696.0,151.0,443.0,144.0,2.5156,86300.0,1,0,0,0
-120.39,37.96,10.0,2554.0,501.0,922.0,439.0,2.1094,164000.0,1,0,0,0
-117.9,33.72,33.0,2613.0,562.0,3150.0,543.0,4.3899,180700.0,0,0,0,0
-118.19,33.8,36.0,2326.0,729.0,2635.0,657.0,2.1985,141800.0,0,0,0,1
-121.24,37.9,16.0,50.0,10.0,20.0,6.0,2.625,137500.0,1,0,0,0
-117.15,33.45,4.0,9089.0,1413.0,3886.0,1243.0,4.6904,174200.0,0,0,0,0
-119.01,35.35,34.0,1354.0,325.0,922.0,304.0,2.1875,58000.0,1,0,0,0
-118.59,34.47,5.0,538.0,98.0,8733.0,105.0,4.2391,154600.0,1,0,0,0
-118.41,33.9,39.0,2040.0,336.0,926.0,351.0,7.5552,500001.0,0,0,0,0
-120.83,35.33,14.0,4155.0,787.0,2112.0,755.0,4.4766,192700.0,0,0,0,1
-118.24,34.24,31.0,3019.0,469.0,1349.0,462.0,7.1463,394100.0,0,0,0,0
-120.45,39.8,47.0,2149.0,456.0,965.0,419.0,1.7829,55900.0,1,0,0,0
-117.48,34.01,23.0,2000.0,376.0,1361.0,388.0,4.369,121100.0,1,0,0,0
-121.24,36.34,33.0,1691.0,308.0,792.0,262.0,2.6648,164600.0,0,0,0,0
-117.8,33.85,16.0,4151.0,637.0,1558.0,604.0,5.806,304900.0,0,0,0,0
-117.24,33.95,11.0,6617.0,1118.0,3710.0,1087.0,4.7877,132600.0,1,0,0,0
-117.18,33.02,15.0,3540.0,453.0,1364.0,425.0,13.6623,500001.0,0,0,0,1
-118.11,33.9,35.0,1323.0,269.0,1084.0,240.0,5.0753,178000.0,0,0,0,0
-117.23,32.8,21.0,2429.0,579.0,1011.0,538.0,3.225,229400.0,0,0,0,1
-118.26,34.01,46.0,879.0,253.0,1010.0,221.0,2.1776,118300.0,0,0,0,0
-122.52,37.88,52.0,176.0,50.0,88.0,46.0,3.8068,275000.0,0,0,1,0
-120.96,37.48,32.0,1256.0,212.0,682.0,236.0,2.9844,135900.0,1,0,0,0
-118.09,34.15,46.0,271.0,74.0,150.0,55.0,2.2321,237500.0,1,0,0,0
-117.07,33.0,4.0,9153.0,1866.0,3775.0,1698.0,4.955,241500.0,0,0,0,0
-121.6,36.88,21.0,3416.0,624.0,1862.0,595.0,4.7813,241500.0,0,0,0,0
-118.09,33.99,35.0,2787.0,639.0,1923.0,614.0,3.5757,177900.0,0,0,0,0
-117.32,34.13,41.0,1837.0,409.0,1430.0,344.0,2.4524,70400.0,1,0,0,0
-121.36,38.56,20.0,1232.0,332.0,667.0,288.0,1.8288,32500.0,1,0,0,0
-122.01,37.92,18.0,2808.0,337.0,1038.0,337.0,8.3956,353600.0,0,0,1,0
-118.06,33.98,42.0,1342.0,243.0,615.0,208.0,5.4381,186900.0,0,0,0,0
-120.46,34.66,5.0,2904.0,702.0,1302.0,618.0,3.0081,135200.0,0,0,0,1
-117.13,32.7,35.0,365.0,98.0,463.0,112.0,2.5588,78800.0,0,0,0,1
-121.61,37.15,16.0,5498.0,729.0,2051.0,694.0,7.8601,416300.0,0,0,0,0
-117.04,32.77,26.0,4263.0,1037.0,2199.0,1010.0,2.734,148900.0,0,0,0,0
-117.81,33.69,5.0,1256.0,256.0,880.0,288.0,2.4233,450000.0,0,0,0,0
-121.09,38.68,15.0,5218.0,711.0,1949.0,659.0,4.7083,213300.0,1,0,0,0
-117.79,33.77,23.0,3596.0,451.0,1292.0,458.0,8.5403,451300.0,0,0,0,0
-117.25,33.0,14.0,2518.0,458.0,931.0,414.0,5.8393,485300.0,0,0,0,1
-118.4,33.86,41.0,2237.0,597.0,938.0,523.0,4.7105,500001.0,0,0,0,0
-120.33,34.87,24.0,2590.0,404.0,1093.0,338.0,3.9375,341200.0,0,0,0,0
-117.23,32.8,28.0,3379.0,918.0,1849.0,849.0,3.0293,241700.0,0,0,0,1
-117.05,34.04,23.0,3967.0,766.0,1518.0,698.0,2.29,111800.0,1,0,0,0
